NIS,NAAM,INWONERS
64000,Arrondissement Borgworm,82289
64008,Berloz,3185
64015,Braives,6384
64021,Crisnée,3496
64023,Donceel,3108
64025,Fexhe-le-Haut-Clocher,3269
64029,Geer,3487
64034,Hannuit,16824
64047,Lijsem,3318
64056,Oerle,3916
64063,Remicourt,6049
64065,Saint-Georges-sur-Meuse,7057
64074,Borgworm,15255
64075,Wasseiges,2996
64076,Faimes,3945
70000,Provincie Limburg,880397
71000,Arrondissement Hasselt,422100
71002,As,8279
71004,Beringen,46882
71011,Diepenbeek,19157
71016,Genk,66673
71017,Gingelom,8426
71020,Halen,9360
71022,Hasselt,79089
71024,Herk-de-Stad,12716
71034,Leopoldsburg,16065
71037,Lummen,15086
71045,Nieuwerkerken (Hasselt),7062
71053,Sint-Truiden,40557
71057,Tessenderlo,18881
71066,Zonhoven,21339
71067,Zutendaal,7290
71069,Ham,11031
71070,Heusden-Zolder,34207
72000,Arrondissement Maaseik,252731
72003,Bocholt,13253
72004,Bree,16097
72018,Kinrooi,12216
72020,Lommel,34255
72021,Maaseik,25389
72030,Peer,16421
72037,Hamont-Achel,14337
72038,Hechtel-Eksel,12543
72039,Houthalen-Helchteren,30498
72041,Dilsen-Stokkem,20819
72042,Oudsbergen,23520
72043,Pelt,33383
73000,Arrondissement Tongeren,205566
73001,Alken,11685
73006,Bilzen,32536
73009,Borgloon,11123
73022,Heers,7339
73028,Herstappe,78
73032,Hoeselt,9740
73040,Kortessem,8443
73042,Lanaken,25922
73066,Riemst,16709
73083,Tongeren,31224
73098,Wellen,7413
73107,Maasmechelen,39161
73109,Voeren,4193
80000,Provincie Luxemburg,288722
81000,Arrondissement Aarlen,63546
81001,Aarlen,30393
81003,Attert,5654
81004,Aubange,17251
81013,Martelange,1916
81015,Messancy,8332
82000,Arrondissement Bastenaken,49352
82003,Bastenaken,16296
82005,Bertogne,3750
82009,Fauvillers,2338
82014,Houffalize,5236
82032,Vielsalm,7879
82036,Vaux-sur-Sûre,5862
82037,Gouvy,5404
82038,Sainte-Ode,2587
83000,Arrondissement Marche-en-Famenne,57084
83012,Durbuy,11531
83013,Erezée,3283
83028,Hotton,5662
83031,La Roche-en-Ardenne,4213
83034,Marche-en-Famenne,17658
83040,Nassogne,5589
83044,Rendeux,2651
83049,Tenneville,2890
83055,Manhay,3607
84000,Arrondissement Neufchâteau,64354
84009,Bertrix,8936
84010,Bouillon,5420
84016,Daverdisse,1415
84029,Herbeumont,1653
84033,Léglise,5626
84035,Libin,5286
84043,Neufchâteau (Neufchâteau),7836
84050,Paliseul,5453
84059,Saint-Hubert,5625
84068,Tellin,2508
84075,Wellin,3114
84077,Libramont-Chevigny,11482
85000,Arrondissement Virton,54386
85007,Chiny,5242
85009,Etalle,5948
85011,Florenville,5687
85024,Meix-devant-Virton,2833
85026,Musson,4656
85034,Saint-Léger (Virton),3691
85039,Tintigny,4340
85045,Virton,11371
85046,Habay,8510
85047,Rouvroy,2108
90000,Provincie Namen,497073
91000,Arrondissement Dinant,111812
91005,Anhée,7172
91013,Beauraing,9260
91015,Bièvre,3387
91030,Ciney,16822
91034,Dinant,13300
91054,Gedinne,4646
91059,Hamois,7383
91064,Havelange,5293
91072,Houyet,5061
91103,Onhaye,3247
91114,Rochefort,12648
91120,Somme-Leuze,5880
91141,Yvoir,9105
91142,Hastière,6068
91143,Vresse-sur-Semois,2540
92000,Arrondissement Namen,318969
92003,Andenne,27669
92006,Assesse,7193
92035,Eghezée,16487
92045,Floreffe,8161
92048,Fosses-la-Ville,10426
92054,Gesves,7247
92087,Mettet,13261
92094,Namen,111603
92097,Ohey,5182
92101,Profondeville,12157
92114,Sombreffe,8433
92137,Sambreville,28318
92138,Fernelmont,8074
92140,Jemeppe-sur-Sambre,19182
92141,La Bruyère,9337
92142,Gembloux,26239
93000,Arrondissement Philippeville,66292
93010,Cerfontaine,4998
93014,Couvin,13800
93018,Doische,2962
93022,Florennes,11256
93056,Philippeville,9244
93088,Walcourt,18355
93090,Viroinval,5677
