NAAM,TYPE_NAAM,GELD_START,LON,LAT,GEMEENTE
Pastorie Onze-Lieve-Vrouwparochie: tuin,Beschermd stads- of dorpsgezicht,2003/12/04,5.054,50.989,Diest
Kapel Sint-Anna en omgeving,Beschermd cultuurhistorisch landschap,1951/07/12,5.153,50.995,Lummen
Kapel Onze-Lieve-Vrouw van de Beukeboom en omgeving,Beschermd cultuurhistorisch landschap,1951/07/12,5.176,50.987,Lummen
Watermolen Kleine Molen en omgeving,Beschermd stads- of dorpsgezicht,1995/05/29,5.183,50.978,Lummen
Groeve Hermans,Beschermd cultuurhistorisch landschap,1994/05/05,5.597,51.008,As
"Sint-Aldegondiskerk met kerkhof, omheiningsmuur en grafkruisen",Beschermd cultuurhistorisch landschap,1948/05/31,5.586,51.009,As
Watermolen Oude Theunissenmolen met omgeving,Beschermd stads- of dorpsgezicht,1993/11/18,5.588,51.017,As
Watermolen 't Mieleke: omgeving,Beschermd stads- of dorpsgezicht,1995/05/29,5.581,51.010,As
Station As: omgeving,Beschermd stads- of dorpsgezicht,1996/03/19,5.601,51.005,As
Steenkoolterrils van Waterschei,Beschermd cultuurhistorisch landschap,1999/06/11,5.547,51.010,As
Vallei van de Dorpsbeek,Beschermd cultuurhistorisch landschap,1993/08/26,5.529,50.967,Genk
Watermolen Slagmolen met omgeving,Beschermd stads- of dorpsgezicht,1995/05/29,5.473,50.960,Genk
Natuurreservaat De Maten: fase 2 (uitgesloten vijvers),Beschermd cultuurhistorisch landschap,1976/01/21,5.447,50.950,Genk
Provinciaal Domein Bokrijk,Beschermd cultuurhistorisch landschap,1947/02/12,5.414,50.963,Genk
Natuurreservaat De Maten: fase 1,Beschermd cultuurhistorisch landschap,1975/08/21,5.452,50.950,Genk
Parochiekerk Sint-Monulfus en -Gondulfus: omgeving,Beschermd stads- of dorpsgezicht,2003/03/03,5.701,50.961,Maasmechelen
Pastorie Sint-Jorisparochie met omgeving,Beschermd stads- of dorpsgezicht,1980/07/18,5.719,50.941,Maasmechelen
Dorpskern Leut,Beschermd stads- of dorpsgezicht,1996/07/05,5.737,50.992,Maasmechelen
Kasteel Vilain XIIII met park,Beschermd cultuurhistorisch landschap,1991/04/24,5.748,50.994,Maasmechelen
Kasteel Vilain XIIII: kasteel en omliggend park,Beschermd cultuurhistorisch landschap,1953/08/13,5.743,50.995,Maasmechelen
"Pastorie Sint-Christoffelparochie, kerkhof en restanten kerk Sint-Christoffel",Beschermd stads- of dorpsgezicht,2001/12/21,5.683,50.939,Maasmechelen
Het Welleke,Beschermd cultuurhistorisch landschap,1981/06/12,5.388,50.983,Zonhoven
Vranckenschans met omgeving,Beschermd stads- of dorpsgezicht,1981/04/13,5.339,50.979,Zonhoven
De Holsteen,Beschermd cultuurhistorisch landschap,1967/09/11,5.427,50.995,Zonhoven
Kapel van de Heuven: kapelhof,Beschermd stads- of dorpsgezicht,1978/06/16,5.369,50.987,Zonhoven
Huis De Franse Kroon met omgeving,Beschermd stads- of dorpsgezicht,1987/04/21,5.368,50.995,Zonhoven
Slangebeekbronnen,Beschermd cultuurhistorisch landschap,1989/11/30,5.409,50.992,Zonhoven
Militair Domein de Molenheide,Beschermd cultuurhistorisch landschap,1995/02/23,5.429,50.991,Zonhoven
Kapel Onze-Lieve-Vrouw van Ten Eikenen met omgeving,Beschermd cultuurhistorisch landschap,1971/09/08,5.364,51.003,Zonhoven
Rotemse molen en omgeving,Beschermd stads- of dorpsgezicht,2005/05/30,5.093,50.929,Halen
Gesloten hoeve met omgeving,Beschermd stads- of dorpsgezicht,1986/06/12,5.124,50.926,Halen
Laathof en omgeving,Beschermd cultuurhistorisch landschap,1975/11/10,5.105,50.941,Halen
Hoeve en poortgebouw abdij Mariëndal met omgeving,Beschermd stads- of dorpsgezicht,1994/01/11,5.097,50.929,Halen
Boerenburgerhuis met tuin,Beschermd stads- of dorpsgezicht,1982/03/29,5.115,50.948,Halen
Kartuizerklooster Sint-Jansberg met omgeving,Beschermd stads- of dorpsgezicht,1978/03/01,5.093,50.971,Halen
"Het Geesthuys: woning, park, omwalling en weilanden",Beschermd stads- of dorpsgezicht,1994/10/12,5.084,50.983,Halen
Sterrebos,Beschermd cultuurhistorisch landschap,1993/07/09,5.259,50.922,Hasselt
Abdij van Herkenrode en omgeving,Beschermd cultuurhistorisch landschap,1974/12/05,5.285,50.955,Hasselt
Gesloten vakwerkhoeve: omgeving met wegkapel,Beschermd stads- of dorpsgezicht,2004/02/03,5.327,50.904,Hasselt
Gesloten hoeve: wijdere agrarische omgeving,Beschermd stads- of dorpsgezicht,2004/03/04,5.250,50.933,Hasselt
Langgestrekte vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.298,50.942,Hasselt
Vakwerkhoeve met losse bestanddelen: omgeving met stal en bakhuis,Beschermd stads- of dorpsgezicht,2009/06/15,5.329,50.896,Hasselt
Vakwerkhoeve met losse bestanddelen: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.341,50.901,Hasselt
U-vormige vakwerkhoeve: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.259,50.913,Hasselt
U-vormige vakwerkhoeve Busselkenswinning: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.243,50.940,Hasselt
Vakwerkhoeve met losse bestanddelen en waterput: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.245,50.916,Hasselt
Gesloten hoeve In De Klok: omgeving,Beschermd stads- of dorpsgezicht,2009/06/15,5.354,50.884,Hasselt
Watermolen op de Herk met omgeving,Beschermd stads- of dorpsgezicht,1979/03/13,5.249,50.918,Hasselt
Kapel Onze-Lieve-Vrouw Troost der Kleine Kinderen met omgeving,Beschermd stads- of dorpsgezicht,1979/03/13,5.249,50.947,Hasselt
Het Beluikske met omgeving,Beschermd stads- of dorpsgezicht,1983/07/28,5.337,50.932,Hasselt
Parochiekerk Sint-Martinus met omgeving,Beschermd stads- of dorpsgezicht,1985/11/28,5.251,50.917,Hasselt
Semi-gesloten hoeve Spaans Huis met omgeving,Beschermd stads- of dorpsgezicht,1987/01/12,5.379,50.934,Hasselt
Woning De Drossaerd met omgeving,Beschermd stads- of dorpsgezicht,1993/10/26,5.305,50.944,Hasselt
